file,num,unique
RS_2008-06.zst,190682
RS_2008-07.zst,218092
RS_2008-08.zst,212552
RS_2008-09.zst,256268
RS_2008-10.zst,282974
RS_2008-11.zst,272505
RS_2008-12.zst,283915
RS_2009-01.zst,331060
RS_2009-02.zst,329042
RS_2009-03.zst,362805
RS_2009-04.zst,357107
RS_2009-05.zst,355193
RS_2009-06.zst,383969
RS_2009-07.zst,427135
RS_2009-08.zst,435860
RS_2009-09.zst,443037
RS_2009-10.zst,461702
RS_2009-11.zst,452320
RS_2009-12.zst,492225
RS_2010-01.zst,549007
RS_2010-02.zst,506868
RS_2010-03.zst,602586
RS_2010-04.zst,617302
RS_2010-05.zst,515637
RS_2010-06.zst,478396
RS_2010-07.zst,504098
RS_2010-08.zst,537480
RS_2010-09.zst,600209
RS_2010-10.zst,630298
RS_2010-11.zst,674615
RS_2010-12.zst,729840
RS_2011-01.zst,837996
RS_2011-02.zst,822302
RS_2011-03.zst,976817
RS_2011-04.zst,971371
RS_2011-05.zst,1081578
RS_2011-06.zst,1153048
RS_2011-07.zst,1264991
RS_2011-08.zst,1448347
RS_2011-09.zst,1482575
RS_2011-10.zst,1590673
RS_2011-11.zst,1634431
RS_2011-12.zst,1772219
RS_2012-01.zst,1981577
RS_2012-02.zst,1961817
RS_2012-03.zst,2158965
RS_2012-04.zst,2279491
RS_2012-05.zst,2293901
RS_2012-06.zst,2393973
RS_2012-07.zst,2663529
RS_2012-08.zst,2782752
RS_2012-09.zst,2568109
RS_2012-10.zst,2776156
RS_2012-11.zst,2706118
RS_2012-12.zst,2735743
RS_2013-01.zst,3134862
RS_2013-02.zst,2886631
RS_2013-03.zst,3201525
RS_2013-04.zst,3376188
RS_2013-05.zst,3261976
RS_2013-06.zst,3189490
RS_2013-07.zst,3374406
RS_2013-08.zst,3315090
RS_2013-09.zst,3121163
RS_2013-10.zst,3467225
RS_2013-11.zst,3522378
RS_2013-12.zst,3801410
RS_2014-01.zst,4145541
RS_2014-02.zst,3946491
RS_2014-03.zst,4209109
RS_2014-04.zst,4115035
RS_2014-05.zst,4162070
RS_2014-06.zst,4092661
RS_2014-07.zst,4502441
RS_2014-08.zst,4596551
RS_2014-09.zst,4567136
RS_2014-10.zst,4831580
RS_2014-11.zst,4735396
RS_2014-12.zst,4984013
RS_2015-01.zst,5465910
RS_2015-02.zst,5069813
RS_2015-03.zst,5611145
RS_2015-04.zst,5605306
RS_2015-05.zst,5757886
RS_2015-06.zst,5948530
RS_2015-07.zst,5945498
RS_2015-08.zst,6173540
RS_2015-09.zst,6176407
RS_2015-10.zst,6310673
RS_2015-11.zst,6113675
RS_2015-12.zst,6322479
RS_2016-01.zst,6877510
RS_2016-02.zst,7146932
RS_2016-03.zst,6901239
RS_2016-04.zst,6922510
RS_2016-05.zst,7277166
RS_2016-06.zst,7188762
RS_2016-07.zst,7369835
RS_2016-08.zst,7591689
