FILENAME COMPRESSED_SIZE NUMBER_OF_OBJECTS UNCOMPRESSED_SIZE SHA1_HASH
RS_2009-06.zst 33388284 383969 546516739 23985e570bb8fb46e5742ef8d37ec7c98bd4f90ce3496a3008fa3215bd3ea908
RS_2009-07.zst 38805476 427135 610634988 34fdb6aad246666c283c6fab156c087de37d82c553b25cbe3b8660c8dbe30003
RS_2009-08.zst 40840539 435860 628914540 dc2c60647cd9880cb0e2bd6049b6655884752457e6e5063f493d3a46da931bfc
RS_2009-09.zst 42159627 443037 642899843 c97cf5831d45841afb444a94fc0415da807eddfa3582b2852fbea6bb243d4914
RS_2009-10.zst 44584880 461702 671796167 d91a30a8de84b71a3a334f39f927505d5589ab1a0cc30291f6f95185282ca471
RS_2009-11.zst 43387269 452320 657706662 dbd2303c81fb5ffab09e5dcae9fa972e31f5df9a63485f2e638b0d71257e05ba
RS_2009-12.zst 47616851 492225 717874083 c83a057999f50c4c90f9841ab076811b4298598129ac5a4fc73a1be1aedfb77e
RS_2010-01.zst 53564091 549007 801049880 1b9ab950e88b5f1178de3973fd5985e4da2e89930ca3b8be1da509fbf28e935c
RS_2010-02.zst 49946623 506868 740015542 da3b3d01d646a0faf76c37541000b99132fbd22e35c8ef0a2a3c45cd4b43e2a5
RS_2010-03.zst 60148071 602586 881968633 0334d0c32cef02b04c148628e09ddb8531ea4391f734b52092f46b94294e48c3
RS_2010-04.zst 61274377 617302 903405387 7a4723d58fd2e02c5f6fcc037608d433db247c792b4a25735240909f812879b6
RS_2010-05.zst 53948499 515637 758602110 ec52e6ac131f34a6a0883d3a401d48d6c84671f533a4c5f78362e24a501dd01d
RS_2010-06.zst 51689085 478396 703881665 2c7d6fa19ccc57a798b637bc4e01603cbd0028fb3b9cb9d20408b862af297c01
RS_2010-07.zst 56291052 504098 746817337 d261f5caaff1ac0cf8ba3c6b5b50adc3f8be27779ec2f277c23075d745bc2d32
RS_2010-08.zst 60209778 537480 797563407 81cd048796e9945e09f6318055b28fda1afe2c54f3d56d6adf25251d3f2aae7c
RS_2010-09.zst 68662444 600209 895058074 563200613e422a0d0f726defd357c7afc7cfab23273778a25305aa29881c563c
RS_2010-10.zst 73342912 630298 948180969 f436d9132aa3c913eb961035df15526cec69c65f5f732ca24d49d3280d2a2371
RS_2010-11.zst 80300226 674615 1034520234 8f6062ddd2ddfc41775bb3249e97d8cd9cc7d5d18dbe6cf40aa4f8a8e511c84e
RS_2010-12.zst 87301279 729840 1120467970 d8c8fc9ebf1935e1d64bb060546273b0173a25acf085e189ddd80cee10f26e52
RS_2011-01.zst 123638415 837996 1071792096 d800f556042a32a4499b391c2fb03dfc4d694cef74a0d4826be165c2427edfd9
RS_2011-02.zst 119691628 822302 1041142374 976d210793c0b339d9ed8ebc2f4dc3c944c7b76a2db00e501800501715969311
RS_2011-03.zst 142124078 976817 1245806272 7d2259c1e4646a849959f563c3aea41b23fbd9bd368fe8fe8cea2a6cf354a6fc
RS_2011-04.zst 139367916 971371 1225163170 6c5847550ba15588f1f05c41a3bba89ca255d9b96a2cc4e0a806df3f8cee4348
RS_2011-05.zst 151966023 1081578 1350096885 4bb3117855d238461f449cad45289319533743ff0cd71c297f09fece0e7a16c7
RS_2011-06.zst 162700665 1153048 1444401474 ad2c07691a030e18b80d73dd0707bf53fd64ab857bb16b975013eea72a64efc7
